,subject,Test,Score,Mu,Sigma,Tau,SCamp
0,1,Mem_Update,-0.08152390210127107,152.07079978,45.23447839,106.72445752,4.607705314009659
1,2,Mem_Update,0.9559065867414476,154.362654415,42.322657435,120.855988275,4.350217238962859
2,3,Mem_Update,1.1306910712747311,150.13252598,40.677543575,111.727054065,4.196171581769435
3,4,Mem_Update,0.4653823882125532,213.271238975,78.25279067,172.39859476499996,4.6225117370892
4,5,Mem_Update,0.8995244949565181,153.37597089,57.31441017,123.16638393,5.0759957020057245
5,6,Mem_Update,0.4202767147846084,142.774136155,34.42810424,99.036833455,4.744920877998979
6,7,Mem_Update,-1.3726738039761772,150.662465965,37.36556697,175.32081739,3.6870054730258
7,8,Mem_Update,-0.7637472126989288,192.837692075,57.11197565000001,92.24280198,4.215255994815292
8,9,Mem_Update,2.1173776775110134,190.25182089,55.178194465,103.864944985,5.2709611829944585
9,10,Mem_Update,0.04815490900406864,139.05199922999998,25.429333345,118.78651816,2.570770010131709
10,11,Mem_Update,1.1983495814166487,182.220747665,55.42141594,163.62562660999996,5.148259911894275
11,12,Mem_Update,0.6965489645307671,191.25403983,54.12349992,45.717286455,5.180262116716116
12,13,Mem_Update,-1.2429949928708373,160.01538886,54.05055246,100.86096799,4.9923244251087695
13,14,Mem_Update,-1.180974691907414,163.479250135,65.52041635500001,134.732704055,5.0292280945757994
14,15,Mem_Update,-0.9103406513397478,168.09646279499995,50.212823585,62.55620093,4.627702702702694
15,16,Mem_Update,-0.1999262948496251,175.87569932,45.64260703,69.19922793,5.1141186635944695
16,17,Mem_Update,0.3582564138211852,155.99994454,38.69030276,88.584535805,4.835473856209147
17,18,Mem_Update,0.16091909257392906,164.342599385,56.22700839,112.05009554,4.383762820512824
18,19,Mem_Update,1.0292033060618568,170.24517059,57.03860522,94.333945025,5.086203814064361
19,20,Mem_Update,0.12145162832447726,190.675329445,48.28638562,113.182591585,5.446834951456309
20,21,Mem_Update,1.3505812292359602,142.38167033,35.55011941,128.81424965,4.903515527950317
21,22,Mem_Update,-0.3859871977398959,149.902649395,39.625252085,105.09143564,4.186255530973456
22,23,Mem_Update,0.8431424031715873,163.58161244500005,46.15858851,96.5325773,4.681487964989056
23,24,Mem_Update,-2.297340109249036,185.59507939,75.91569855,137.38157547,5.830144032921821
24,25,Mem_Update,-0.5213042180237284,148.670046725,34.3882581,82.896873935,3.871141649048624
25,26,Mem_Update,-1.1358690184794695,181.420656685,55.57542213000001,125.606951375,3.4627769886363624
26,27,Mem_Update,-0.4705603354172912,146.29907865,52.531402205,101.772580395,4.385365439093486
27,28,Mem_Update,0.06506953653954706,157.65721171,41.26247220000001,121.418952025,4.817028676021969
28,29,Mem_Update,-0.2393937590990762,179.09139248,37.72648112,137.98269932,5.164463315217395
29,30,Mem_Update,1.271646300737057,178.67632585500004,51.16956010000001,105.905468645,4.799865642994238
30,31,Mem_Update,-0.4029018252753751,158.32711675500005,39.13057882,136.382408935,3.5762078093977485
31,32,Mem_Update,-0.4085400344538677,146.31628154,42.50577182,109.171008125,5.224154528182393
32,33,Mem_Update,0.20602476600187314,146.43443288,53.4749681,130.76394503,5.1406473594548565
33,34,Mem_Update,0.20038655682337947,167.013891655,65.11935074,128.59129744,4.795676258992807
34,35,Mem_Update,1.2039877905951404,150.634135155,57.743122665,124.953257025,3.2288896103896136
35,36,Mem_Update,-1.2542714112278237,133.40833785,27.6329722,119.343968795,4.291958820255978
36,37,Mem_Update,-0.6002391465226312,141.939818145,53.994471165,110.06232085,5.870077476480362
37,38,Mem_Update,0.6232522452103577,140.66417755,31.76416333,225.24117630000003,5.4006887052341535
38,39,Mem_Update,-0.5664098914516732,173.68504282,47.46669677,80.87046380000002,4.157159863945576
39,40,Mem_Update,0.2003865568233801,185.592609615,43.47614537,81.242785365,4.667697802197807
40,41,Mem_Update,1.5479185504832158,158.78641972999995,56.394015875,117.259963545,4.870264005151312
41,42,Mem_Update,-0.5100277996667424,169.79067043499995,48.99104703,124.73146493,3.3954834684965736
42,43,Mem_Update,-0.7299179576279708,153.58666449999996,45.39721077,109.615002625,3.798125948406671
43,44,Mem_Update,-0.8483203503763247,171.00265323,69.53126866,162.81103116,5.917180385288956
44,45,Mem_Update,-0.14918241224318793,149.83367852499995,70.446392965,122.436703325,5.2322367560497085
45,46,Mem_Update,0.5217644799974834,193.212004075,55.38966599,124.544862275,5.335242847638054
46,47,Mem_Update,-1.4459705232965867,170.686761935,63.160988205,69.79566292999999,4.2804693539480985
47,48,Mem_Update,-0.3014140600625004,175.929584825,49.497749065,121.95680785,5.787790988735922
48,49,Mem_Update,0.27368327614379,169.165692905,66.19359987499999,146.102280885,4.1040228013029365
49,50,Mem_Update,-0.5043895904882496,175.045198255,35.19831534,98.99332438,4.773405438813347
50,51,Mem_Update,1.5648331780186957,157.972587705,41.04453065,101.95676622,4.812025641025628
51,52,Mem_Update,-0.00822718278086217,171.90609681,66.45162258,162.63796059,3.6177374784110534
