"mu","sig","tau","log_like","aic","bic","subject"
145.205205519899,45.484344005786,125.662678533074,-2531.49350308019,5068.98700616038,5081.06460408186,1
154.171028387291,42.6642091517401,124.414097601699,-8725.34086837694,17456.6817367539,17472.4717256063,2
145.483396155271,43.4351481560821,118.041645858258,-11315.9954548269,22637.9909096539,22654.5839586501,3
203.75717825576,64.3659501866217,179.668099068408,-8283.57384468329,16573.1476893666,16588.6068442714,4
146.715656475496,56.6690657968708,132.566300297147,-8703.35688308935,17412.7137661787,17428.4378650287,5
141.143511572859,40.7950595728651,101.534821186567,-11669.2191219323,23344.4382438647,23361.1788121185,6
146.472578513036,36.7525455676496,193.441065261585,-8220.44180375885,16446.8836075177,16462.3451089224,7
184.414115571977,49.1932074738806,104.085826394545,-9278.19150865611,18562.3830173122,18578.4074688693,8
186.875815318897,50.8872347122894,110.072915271518,-9861.59871186346,19729.1974237269,19745.3735184295,9
140.026758800031,34.9805739996904,115.611312067065,-11866.790827397,23739.581654794,23756.345106454,10
178.134342991565,53.726454411,168.455332660339,-8696.92149014714,17399.8429802943,17415.4931087544,11
178.765900327544,50.4764688635892,63.7591730477691,-11644.3780779451,23294.7561558903,23311.591683089,12
149.582905486581,43.4243119396955,123.41842393196,-9831.56315170034,19669.1263034007,19685.2764078417,13
158.901917176974,62.2950579300268,139.220467154168,-9048.66369072025,18103.3273814405,18119.1404070553,14
162.759924825875,44.7265891517511,71.0340670264179,-12393.1466777443,24792.2933554885,24809.3074382581,15
159.843363172352,51.3015525930488,92.4152374239847,-10328.0696573335,20662.139314667,20678.5173313527,16
144.69991718546,37.3699247855239,110.552231584715,-10965.5786385295,21937.157277059,21953.7033107726,17
159.024976314102,51.6341466052479,121.678165775675,-9614.55939184063,19235.1187836813,19251.176106982,18
159.328246768892,55.8015306289283,112.724716706462,-10251.6185337155,20509.2370674309,20525.513141092,19
180.515038716843,43.0710163681006,132.122331050559,-9502.82615116335,19011.6523023267,19027.6806398947,20
139.897862227386,42.3388833672241,139.195288734106,-9967.21581438755,19940.4316287751,19956.583597149,21
152.343866863617,42.1668153523583,104.891621183489,-10875.8830240357,21757.7660480714,21774.2659776943,22
156.701444421201,44.1109000920751,109.509938364249,-11013.8145644804,22033.6291289607,22050.1620622168,23
183.487919268501,66.3320490574993,142.374183389224,-9244.34455190989,18494.6891038198,18510.5435665575,24
145.242923751249,37.7053750112831,91.3436777039678,-11064.7707247503,22135.5414495006,22152.1776187495,25
173.13283476911,57.3929772778915,142.429771371539,-8868.35463739436,17742.7092747887,17758.4590513989,26
144.857680665204,52.9118003303169,101.917305445809,-10642.49730235,21290.9946046999,21307.422322608,27
156.782252044501,42.1095582999806,126.678716180125,-10033.6406792339,20073.2813584678,20089.4868832041,28
189.038887442956,48.30170025103,124.530128052583,-9078.00357581769,18162.0071516354,18177.8902835332,29
172.723901173235,47.3017697112887,122.350159472232,-9565.11169973203,19136.2233994641,19152.2864864553,30
153.069747207656,55.608847543587,137.910589143545,-9436.04282184429,18878.0856436886,18894.0472245754,31
150.293053892252,45.9713844547831,106.448356758855,-9512.88868767527,19031.7773753505,19047.8710163933,32
153.91979333323,61.49725058918,116.851174847577,-7266.59896736122,14539.1979347224,14554.4024507236,33
161.025050248361,51.3466619016409,139.965002336924,-8731.45349381101,17468.906987622,17484.6181647004,34
142.166667805766,48.1391572132307,142.831894156961,-9613.18930122668,19232.3786024534,19248.3972155396,35
129.985322364108,31.062784735553,127.913773941304,-10880.4027181913,21766.8054363826,21783.2870580429,36
