0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,2,1201,4,1,8,150.63619628,34.82464592,114.22120291,3.80316841,6.83554447,6.13586772,0.64112001,-0.7636021,-0.62610595,-1933.19822159,0.0,0.0,247.02500189,61.59749855
6,2,1201,4,1,5,210.60202411,74.93845268,174.65522551,7.21081322,8.43747477,10.38412851,0.62966763,-0.79685268,-0.6272564,-1933.23593637,0.0,0.0,360.92499981,99.92155359
8,2,1201,4,1,10,151.88154444,59.2196399,123.22887147,5.69664603,5.94340604,7.88769313,0.65337823,-0.82053322,-0.65546962,-1933.32226404,0.0,0.0,259.07500096,72.43215247
10,2,1201,4,1,12,143.90854795,31.21293218,99.69484507,3.20116695,5.29403265,5.14735661,0.58876914,-0.74221472,-0.57858712,-1933.15185611,0.0,0.0,228.02500025,54.277546
12,2,1201,4,1,12,152.96596868,46.25330288,169.00499781,4.65283058,7.79456257,7.91659813,0.49613599,-0.68624647,-0.48258922,-1936.07201658,0.0,0.0,294.42499913,91.8209775
14,2,1201,4,3,6,187.44063047,55.6338448,97.43024783,6.04437014,6.33678815,8.09177976,0.75448126,-0.88428165,-0.7716218,-1932.98967862,0.0,0.0,272.75000163,60.3505378
16,2,1201,4,1,7,185.84804754,51.03295908,109.31691023,5.54133373,6.92837991,7.80368788,0.73411978,-0.85523335,-0.74030654,-1933.52236047,0.0,0.0,280.24999832,63.60571987
18,2,1201,4,1,4,145.361348,43.03102556,113.86339758,4.38976545,6.19398805,6.60341341,0.64823643,-0.7910008,-0.64192324,-1932.94869789,0.0,0.0,242.42500094,63.38897261
20,2,1201,4,1,11,185.14936942,49.94062308,161.72628319,5.23758503,8.89112933,8.45053626,0.60763998,-0.74865411,-0.59330424,-1932.93344076,0.0,0.0,321.60000134,87.64111482
22,2,1201,4,1,22,194.82232757,55.52161778,41.69337058,8.02190355,4.44001495,9.14349374,0.84693028,-0.96725187,-0.87136454,-1932.97216638,0.0,0.0,233.99999985,41.39444476
24,2,1201,4,1,8,160.44138059,55.99119491,101.21714645,5.69453545,5.80245241,7.65309119,0.71521435,-0.86305954,-0.72814899,-1933.08536187,0.0,0.0,248.79999962,62.11469246
26,2,1201,4,1,10,170.99249734,68.31415662,125.44618453,6.43410392,6.15366224,8.6848837,0.66095951,-0.83778502,-0.66961097,-1936.18716471,0.0,0.0,280.15000043,76.44388621
28,2,1201,4,1,11,178.65253064,57.3147496,45.14422494,8.02916046,4.55738942,9.20947076,0.84168119,-0.96424385,-0.86637735,-1934.51210422,0.0,0.0,221.00000076,43.2377144
30,2,1201,4,1,12,172.92665627,46.05435069,71.18480074,5.21010019,5.01428163,6.78881386,0.78047193,-0.9062951,-0.80320975,-1932.95075029,0.0,0.0,235.85000088,46.25853955
32,2,1201,4,3,8,156.92224581,40.7317336,85.58300977,4.15570332,5.0100347,5.8353009,0.69582166,-0.83998976,-0.70633963,-1932.99683244,0.0,0.0,230.87499949,50.14954422
34,2,1201,4,1,5,170.94384171,66.83977331,102.80142804,7.14230945,6.31612571,9.20630557,0.75555155,-0.8950542,-0.77314541,-1932.94123964,0.0,0.0,262.1000013,67.02212319
36,2,1201,4,1,7,172.0521344,56.60266367,83.07623652,6.19098313,5.51796837,7.96301679,0.76589432,-0.9046542,-0.78946026,-1933.59155186,0.0,0.0,245.77500089,55.14981231
38,2,1201,4,3,7,195.15222785,52.69279492,114.04068827,5.40791848,6.6715412,7.65401801,0.69550662,-0.83642502,-0.70340865,-1932.93472833,0.0,0.0,293.52500032,66.29575289
40,2,1201,4,1,7,143.81727968,40.00210773,126.39185209,3.82837328,5.69234167,6.18853181,0.51009033,-0.71030448,-0.50431533,-1937.17591075,0.0,0.0,250.35000072,69.64339525
42,2,1201,4,1,10,146.91864505,34.11777324,108.04153463,3.73552204,6.53986208,5.94648042,0.65533936,-0.77438494,-0.64113152,-1933.33333398,0.0,0.0,238.25000089,58.46479676
44,2,1201,4,1,17,163.77135911,47.3583099,94.90251122,4.6909859,5.32792057,6.50816616,0.68178454,-0.83905287,-0.69523177,-1933.68443659,0.0,0.0,246.00000029,56.37818573
46,2,1201,4,3,14,185.8166375,79.26486097,136.78183193,8.19633169,7.52279783,10.84206901,0.73544226,-0.87358702,-0.73966225,-1933.07898326,0.0,0.0,305.02500091,85.18099409
48,2,1201,4,1,11,147.7749585,33.06075364,82.40701179,3.41503312,4.74907679,5.03444355,0.67273949,-0.80997553,-0.67288394,-1932.94801443,0.0,0.0,218.25000089,46.41322426
50,2,1201,4,1,6,179.68219503,53.35245212,130.89583931,5.48230142,7.36157096,8.04286668,0.67333639,-0.81126801,-0.67101181,-1933.00539506,0.0,0.0,291.74999865,73.93028902
52,2,1201,4,3,7,144.89608381,54.63624844,100.82357977,5.32991004,5.31663777,7.17814721,0.68508657,-0.84762339,-0.69622183,-1933.65177102,0.0,0.0,233.000002,61.49390172
54,2,1201,4,1,12,160.74451878,44.22462368,117.12224682,4.58608444,6.63416962,6.89766786,0.66192468,-0.79749176,-0.65636021,-1932.99924506,0.0,0.0,260.5749999,65.18237499
56,2,1201,4,1,10,185.78231643,60.75842413,130.18521646,6.30895813,7.50270956,8.87010371,0.70613512,-0.84140558,-0.70989115,-1933.23525725,0.0,0.0,298.25000023,75.78711994
58,2,1201,4,3,7,182.6343417,51.96377063,103.39291187,5.34884236,6.15130985,7.39893136,0.70981984,-0.85199388,-0.7222124,-1932.9663769,0.0,0.0,272.29999975,61.49134017
60,2,1201,4,1,8,164.23682925,69.35328159,120.85396677,6.8288187,6.23544649,9.01492888,0.69486698,-0.85901495,-0.70754354,-1933.27300544,0.0,0.0,270.99999887,74.82980783
62,2,1201,4,1,11,148.19146154,45.47728568,108.14509687,4.64961584,6.02622604,6.73962444,0.67704631,-0.81580188,-0.6752303,-1932.97020458,0.0,0.0,241.02500063,61.62225102
65,2,1201,4,1,11,165.76402967,64.03483246,131.6997862,6.43637642,6.8837329,8.93055384,0.69224604,-0.83811666,-0.69182078,-1933.18071802,0.0,0.0,279.60000087,77.3224752
67,2,1201,4,3,7,148.70730442,51.45605801,130.73328954,5.12550311,6.60064503,7.5913732,0.64038024,-0.79048345,-0.63070448,-1932.96850156,0.0,0.0,260.39999894,73.2971025
69,2,1201,4,3,11,129.36891498,30.5773703,121.39322578,3.39562799,7.23107436,5.90570945,0.57438846,-0.71216674,-0.5600293,-1932.95537768,0.0,0.0,230.92499967,64.70874772
71,2,1201,4,1,6,142.23470089,49.98553748,112.30820748,5.38797202,6.61890334,7.6171976,0.72636974,-0.84353873,-0.72144409,-1934.78480931,0.0,0.0,239.07500007,64.72724934
74,2,1201,4,1,7,174.17554573,49.13445463,76.91146006,5.61335341,5.42788255,7.33521214,0.78465584,-0.90694359,-0.80570261,-1933.02676821,0.0,0.0,242.07500203,49.71083189
76,2,1201,4,3,7,185.28498286,40.81061585,79.64565387,4.06793352,4.60080831,5.59583146,0.68897762,-0.84557233,-0.70653494,-1934.16049247,0.0,0.0,254.42500153,47.6839799
78,2,1201,4,3,10,158.0775697,56.27571955,118.13945355,5.70512641,6.44309612,7.934261,0.69419659,-0.83689993,-0.69669773,-1933.06059452,0.0,0.0,260.52500062,69.38462949
80,2,1201,4,1,12,167.51104539,50.85831454,127.66381402,5.20196491,7.02775742,7.69332684,0.6638581,-0.80444461,-0.65973603,-1932.99443907,0.0,0.0,276.60000122,71.66522953
82,2,1201,4,1,12,153.85829633,44.84286102,111.63659835,4.44542224,5.90720132,6.5742184,0.63954799,-0.7944592,-0.6384732,-1933.06253412,0.0,0.0,249.27500094,62.97560549
85,2,1201,4,1,10,156.40412904,81.58222746,112.64533618,8.43174272,6.69805937,10.44702274,0.74953717,-0.8990882,-0.77008023,-1933.21465826,0.0,0.0,259.32500133,77.44234472
87,2,1201,4,1,8,192.17108835,52.61473374,126.1491673,5.2008818,6.77268098,7.59980126,0.64601742,-0.80212116,-0.64874047,-1933.20307644,0.0,0.0,300.27500146,71.77413824
89,2,1201,4,3,9,173.42529036,66.46401216,61.13837729,8.5221705,5.26551311,9.98513672,0.82407642,-0.95302751,-0.8492825,-1936.390192,0.0,0.0,230.24999867,52.59455709
91,2,1201,4,1,10,178.11587357,51.94965313,118.39608184,5.65257117,7.37044925,8.08703035,0.72660613,-0.84494732,-0.72765952,-1933.82186801,0.0,0.0,279.99999885,67.79749381
