,subject,test,score,Tau
0,1,MU_Partial,0.4892156862745099,106.72445752
1,2,MU_Partial,0.669607843137255,120.855988275
2,3,MU_Partial,0.7,111.727054065
3,4,MU_Partial,0.5843137254901961,172.39859476499998
4,5,MU_Partial,0.6598039215686277,123.16638393
5,6,MU_Partial,0.5764705882352941,99.036833455
6,7,MU_Partial,0.2647058823529412,175.32081739
7,8,MU_Partial,0.3705882352941177,92.24280198
8,9,MU_Partial,0.8715686274509804,103.864944985
9,10,MU_Partial,0.511764705882353,118.78651816
10,11,MU_Partial,0.7117647058823531,163.62562660999998
11,12,MU_Partial,0.6245098039215685,45.717286455
12,13,MU_Partial,0.28725490196078435,100.86096799
13,14,MU_Partial,0.2980392156862745,134.732704055
14,15,MU_Partial,0.3450980392156863,62.55620093
15,16,MU_Partial,0.4686274509803922,69.19922793
16,17,MU_Partial,0.5656862745098039,88.584535805
17,18,MU_Partial,0.5313725490196078,112.05009554
18,19,MU_Partial,0.6823529411764706,94.33394502499999
19,20,MU_Partial,0.5245098039215685,113.18259158500001
20,21,MU_Partial,0.7382352941176471,128.81424965
21,22,MU_Partial,0.4362745098039215,105.09143564
22,23,MU_Partial,0.6500000000000001,96.5325773
23,24,MU_Partial,0.10392156862745096,137.38157547
24,25,MU_Partial,0.4127450980392157,82.896873935
25,26,MU_Partial,0.3058823529411765,125.606951375
26,27,MU_Partial,0.4215686274509804,101.772580395
27,28,MU_Partial,0.5147058823529411,121.418952025
28,29,MU_Partial,0.461764705882353,137.98269932
29,30,MU_Partial,0.7245098039215686,105.905468645
30,31,MU_Partial,0.4333333333333333,136.382408935
31,32,MU_Partial,0.4323529411764706,109.171008125
32,33,MU_Partial,0.5392156862745098,130.76394503
33,34,MU_Partial,0.5382352941176469,128.59129744
34,35,MU_Partial,0.7127450980392156,124.953257025
35,36,MU_Partial,0.2852941176470588,119.343968795
36,37,MU_Partial,0.3990196078431372,110.06232084999999
37,38,MU_Partial,0.6117647058823529,225.2411763
38,39,MU_Partial,0.4049019607843137,80.87046380000001
39,40,MU_Partial,0.538235294117647,81.242785365
40,41,MU_Partial,0.7725490196078431,117.259963545
41,42,MU_Partial,0.4147058823529412,124.73146493
42,43,MU_Partial,0.3764705882352941,109.615002625
43,44,MU_Partial,0.3558823529411765,162.81103116
44,45,MU_Partial,0.4774509803921569,122.436703325
45,46,MU_Partial,0.5941176470588235,124.54486227499999
46,47,MU_Partial,0.2519607843137255,69.79566292999999
