,subject,test,score,Tau
0,1,MU,-0.08152390210127107,106.72445752
1,2,MU,0.9559065867414476,120.855988275
2,3,MU,1.1306910712747311,111.727054065
3,4,MU,0.4653823882125532,172.39859476499996
4,5,MU,0.8995244949565181,123.16638393
5,6,MU,0.4202767147846084,99.036833455
6,7,MU,-1.3726738039761772,175.32081739
7,8,MU,-0.7637472126989288,92.24280198
8,9,MU,2.1173776775110134,103.864944985
9,10,MU,0.04815490900406864,118.78651816
10,11,MU,1.1983495814166487,163.62562660999996
11,12,MU,0.6965489645307671,45.717286455
12,13,MU,-1.2429949928708373,100.86096799
13,14,MU,-1.180974691907414,134.732704055
14,15,MU,-0.9103406513397478,62.55620093
15,16,MU,-0.1999262948496251,69.19922793
16,17,MU,0.3582564138211852,88.584535805
17,18,MU,0.16091909257392903,112.05009554
18,19,MU,1.0292033060618568,94.333945025
19,20,MU,0.12145162832447726,113.182591585
20,21,MU,1.3505812292359602,128.81424965
21,22,MU,-0.3859871977398959,105.09143564
22,23,MU,0.8431424031715873,96.5325773
23,24,MU,-2.297340109249036,137.38157547
24,25,MU,-0.5213042180237284,82.896873935
25,26,MU,-1.1358690184794695,125.606951375
26,27,MU,-0.4705603354172912,101.772580395
27,28,MU,0.06506953653954706,121.418952025
28,29,MU,-0.2393937590990762,137.98269932
29,30,MU,1.271646300737057,105.905468645
30,31,MU,-0.40290182527537505,136.382408935
31,32,MU,-0.4085400344538677,109.171008125
32,33,MU,0.20602476600187314,130.76394503
33,34,MU,0.20038655682337947,128.59129744
34,35,MU,1.2039877905951404,124.953257025
35,36,MU,-1.2542714112278237,119.343968795
36,37,MU,-0.6002391465226312,110.06232085
37,38,MU,0.6232522452103577,225.24117630000003
38,39,MU,-0.5664098914516732,80.87046380000002
39,40,MU,0.2003865568233801,81.242785365
40,41,MU,1.5479185504832158,117.259963545
41,42,MU,-0.5100277996667424,124.73146493
42,43,MU,-0.7299179576279708,109.615002625
43,44,MU,-0.8483203503763247,162.81103116
44,45,MU,-0.14918241224318793,122.436703325
45,46,MU,0.5217644799974834,124.544862275
46,47,MU,-1.4459705232965867,69.79566292999999
47,48,MU,-0.3014140600625004,121.95680785
48,49,MU,0.27368327614379,146.102280885
49,50,MU,-0.5043895904882496,98.99332438
50,51,MU,1.5648331780186957,101.95676622
51,52,MU,-0.00822718278086217,162.63796059
52,53,MU,-1.8801126300405504,139.16150585
