,subject,Test,Score,Mu,Sigma,Tau,SCamp
0,1,Mem_Update,-0.08152390210127107,139.88389196,37.80706276,102.72108886,4.679518518518517
1,2,Mem_Update,0.9559065867414476,163.98694462999995,57.4222474,97.656616825,4.817836456558763
2,3,Mem_Update,1.1306910712747311,124.04167052,41.459445815,102.457896015,3.9810485810485785
3,4,Mem_Update,0.4653823882125532,208.59069924,98.2665272,150.668076445,4.165633693972178
4,5,Mem_Update,0.8995244949565181,149.215281065,64.349665875,112.829027365,4.686259758694111
5,6,Mem_Update,0.4202767147846084,138.60017462500002,32.874101585,111.234232405,4.123028169014083
6,7,Mem_Update,-1.3726738039761772,132.957235125,28.387114865,165.88452799499996,3.6705106048703873
7,8,Mem_Update,-0.7637472126989288,183.588431765,54.43409767,96.223101565,3.653760683760681
8,9,Mem_Update,2.1173776775110134,188.51188493,59.701667775,115.34775786,4.789210850801479
9,10,Mem_Update,0.04815490900406864,129.667358045,26.885107295,119.37426818,2.826130189646336
10,11,Mem_Update,1.1983495814166487,160.08317458,68.38699389,142.146800865,4.768942240779404
11,12,Mem_Update,0.6965489645307671,180.775421,53.44575337,57.27464181000001,5.524529872673839
12,13,Mem_Update,-1.2429949928708373,153.96708929,53.869475455,108.383219015,5.1288363636363705
13,14,Mem_Update,-1.180974691907414,152.891954995,52.35617042,144.647528585,5.330290368271959
14,15,Mem_Update,-0.9103406513397478,162.96345494500005,44.70359833000001,68.69525001,4.208144083969466
15,16,Mem_Update,-0.1999262948496251,168.18752525,53.45523159,80.571433165,4.912684563758397
16,17,Mem_Update,0.3582564138211852,144.55696629,36.39166761,102.760262175,4.905055865921791
17,18,Mem_Update,0.16091909257392906,145.216128305,40.567094515,147.77343081,4.384934036939312
18,19,Mem_Update,1.0292033060618568,117.39824352,59.83057011,155.064370935,3.8801504890895404
19,20,Mem_Update,0.12145162832447726,181.355747805,41.45140324,125.77285106,4.762500000000001
20,21,Mem_Update,1.3505812292359602,155.546076995,46.45849744,113.759184435,4.873773824650568
21,22,Mem_Update,-0.3859871977398959,135.54750346,34.71732096,104.8016951,4.0029255596043685
22,23,Mem_Update,0.8431424031715873,163.59702796,47.06635717,97.249310955,4.30131382978724
23,24,Mem_Update,-2.297340109249036,154.794510385,94.232538095,166.20908179999995,6.075220472440939
24,25,Mem_Update,-0.5213042180237284,148.12515824000005,23.28758836,103.882306395,3.701905604719767
25,26,Mem_Update,-1.1358690184794695,176.14735461499995,76.22201436,143.560290795,3.3823853868194824
26,27,Mem_Update,-0.4705603354172912,146.21798478,50.042045985,92.869973855,4.6151861702127635
27,28,Mem_Update,0.06506953653954706,153.41287338,37.91564044,157.35076157,5.129818709209566
28,29,Mem_Update,-0.2393937590990762,181.975544505,61.140314025,106.373291125,5.1248604802076585
29,30,Mem_Update,1.271646300737057,178.56447497,51.57354787,96.133515415,4.562111176818451
30,31,Mem_Update,-0.4029018252753751,126.51021542,15.8000566,174.72826594,3.7199010654490148
31,32,Mem_Update,-0.4085400344538677,117.42233725,47.17172352,158.75719993,4.455168634064075
32,33,Mem_Update,0.20602476600187314,126.98288754,61.4822755,144.3962637,4.591192660550463
33,34,Mem_Update,0.20038655682337947,166.98547432499996,65.908124265,116.739650225,4.714100862641007
34,35,Mem_Update,1.2039877905951404,136.893058445,39.785690185,141.77867178,3.6713547954393024
35,36,Mem_Update,-1.2542714112278237,131.13728641,21.773096395000003,144.553224845,3.9498353658536622
36,37,Mem_Update,-0.6002391465226312,161.54892688,62.635650645,95.439153295,5.632123510292527
37,38,Mem_Update,0.6232522452103577,145.82205493499995,46.942877695,199.50762562,5.639591993841418
38,39,Mem_Update,-0.5664098914516732,165.962056625,48.89931078,113.360207275,4.186615916955022
39,40,Mem_Update,0.2003865568233801,191.43715835,57.32743406,71.455605095,4.148546824542517
40,41,Mem_Update,1.5479185504832158,154.47520618,51.19414829,127.047888035,4.772863606981241
41,42,Mem_Update,-0.5100277996667424,180.68477815,61.248297135,113.21878572,3.452673796791447
42,43,Mem_Update,-0.7299179576279708,155.645891535,47.301517735,101.81245852,4.420708232445514
43,44,Mem_Update,-0.8483203503763247,164.88624867,91.74958584,156.33141367,4.872095516569201
44,45,Mem_Update,-0.14918241224318793,154.714976665,59.03614511,155.240928025,5.481244870041037
45,46,Mem_Update,0.5217644799974834,174.74081003499995,56.33566037,129.70225748500002,5.074829683698299
46,47,Mem_Update,-1.4459705232965867,166.15345601,60.84816386,87.148174695,3.9239006211180048
47,48,Mem_Update,-0.3014140600625004,166.79726692000003,31.284823870000004,143.337297615,4.838801004394228
48,49,Mem_Update,0.27368327614379,169.54260018,55.69065665,179.69248557,4.0175408348457315
49,50,Mem_Update,-0.5043895904882496,175.18121206,47.42251921,109.53778844,5.028406169665812
50,51,Mem_Update,1.5648331780186957,155.967304805,46.399702425,107.521968245,4.710694618272847
51,52,Mem_Update,-0.00822718278086217,162.39879905499996,65.896816685,144.272228815,4.4542183817753385
52,53,Mem_Update,-1.8801126300405504,170.34762358,55.651324115,150.044068255,6.066740376740369
53,54,Mem_Update,0.5048498524620038,165.839965965,42.52482759,126.182345545,4.5710148674854585
54,55,Mem_Update,-1.7842630740061691,174.994429655,83.151359025,107.32506305,5.5288480222068
55,56,Mem_Update,-0.2393937590990762,138.97136471,21.51784741,124.86735692,3.5655865272938416
56,57,Mem_Update,-0.3014140600625004,158.92383588,46.17742325,169.89752879,5.6736548672566345
57,58,Mem_Update,-1.4741615691890515,137.399359465,38.64646857,185.35665055,3.52252330226365
58,59,Mem_Update,0.6063376176748779,162.40222391499995,61.28383782,161.741166915,4.199703652653342
59,60,Mem_Update,-0.5269424272022217,127.39301294,39.484329175,111.54174584,3.758619599578505
60,61,Mem_Update,-1.468523360010559,165.357800185,38.03592057,174.297160735,4.16570318021202
61,62,Mem_Update,0.8205895664576139,204.9732361,60.92197505,174.54364455,5.5402299829642185
62,63,Mem_Update,-0.284499432527021,159.93231384,37.39956466,119.832998315,4.574737470167069
63,64,Mem_Update,0.4484677606770736,149.34581386000005,43.67147491,154.77593909,3.992656249999997
64,65,Mem_Update,2.4669466465775827,141.55796078999995,31.40795748,85.862652825,4.5824680073126265
65,66,Mem_Update,0.6683579186383025,150.091327175,42.818747245,125.289691145,3.738747875354105
66,67,Mem_Update,-1.3501209672622048,129.919411815,41.91525953,136.00668715999998,5.238025350233488
67,68,Mem_Update,-0.9441699064107066,130.93436422500002,10.006523694999998,162.73317965,4.623112244897961
68,69,Mem_Update,0.7134635920662473,173.60113837,50.59487214000001,142.88156676,3.349605597964377
69,70,Mem_Update,1.8467436369433468,148.55001693999995,56.687583775,83.06421073,4.184752046220513
