"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","pre","0","3","3","146120","NA"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","fix","1500","3","3","148036","NA"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","study","1000","3","3","149643","150645"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","study","1000","3","3","151017","152019"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","study","1000","3","3","152388","153390"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","update","1300","3","3","153741","155043"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","update","1300","3","3","155416","156718"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","update","1300","3","3","157082","158384"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test1.png","9","166086","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","test","0","3","3","158731","166087"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test2.png","5","170607","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","test","0","3","3","167180","170608"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","Tr1_test3.png","2","174430","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","test","0","3","3","171713","174431"
"MU.osexp","C:\Users\Public\Experiments\SM01\05-WMC\MU","wait.png","2","174430","C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj003.csv","wait","5000","3","3","175547","174431"
