experiment_file,experiment_path,image,key,key_time,logfile,phase,playtime,setSize,subject_nr,timestamp,waittime
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,ready1.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,pre,0,3,12,177802,NA
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,fixation.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,fix,1500,3,12,180626,NA
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_study1.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,182247,183249
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_study2.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,183625,184627
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_study3.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,184967,185969
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_update1.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,186305,187607
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_update2.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,187972,189274
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_update3.png,NA,NA,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,189635,190937
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_test1.png,9,201152,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,191319,201153
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_test2.png,2,209799,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,202247,209800
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr1_test3.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,210913,213913
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,wait.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,wait,5000,3,12,215006,213913
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,fixation.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,fix,1500,3,12,220125,213913
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_study1.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,221753,222755
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_study2.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,223116,224118
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_study3.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,224443,225446
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_update1.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,225820,227122
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_update2.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,227486,228788
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_update3.png,2,213912,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,update,1300,3,12,229138,230440
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_test1.png,4,233104,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,230786,233105
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_test2.png,6,235296,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,234225,235297
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr2_test3.png,1,239424,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,test,0,3,12,236389,239425
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,ready2.png,1,239424,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,pre,0,3,12,262289,239425
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,fixation.png,1,239424,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,fix,1500,3,12,264421,239425
MU.osexp,C:\Users\Public\Experiments\SM01\05-WMC\MU,Tr3_study1.png,1,239424,C:/Users/Public/Experiments/SM01/05-WMC/MU/MU_results/MUsbj012.csv,study,1000,3,12,266061,267064
