"experiment_file","experiment_path","image","key","key_time","logfile","phase","playtime","setSize","subject_nr","timestamp","waittime"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","pre","0","3","86","70941","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","fix","1500","3","86","73482","NA"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","75155","76155"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","76480","77482"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_study3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","77819","78819"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update1.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","79270","80572"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update2.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","80896","82198"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_update3.png","NA","NA","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","82522","83822"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test1.png","1","87801","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","84135","87802"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test2.png","8","95856","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","88871","95857"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr1_test3.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","96960","99841"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","wait","5000","3","86","100912","99841"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","fix","1500","3","86","105990","99841"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study1.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","107583","108584"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study2.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","108902","109902"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_study3.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","110225","111227"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update1.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","111583","112883"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update2.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","113194","114495"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_update3.png","6","99840","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","114809","116109"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test1.png","4","118784","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","116420","118785"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test2.png","6","121393","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","119843","121394"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr2_test3.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","122471","125522"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","ready2.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","pre","0","3","86","129220","125522"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","fix","1500","3","86","131243","125522"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study1.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","132823","133823"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study2.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","134152","135152"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_study3.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","135470","136470"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update1.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","136789","138091"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update2.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","138421","139721"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_update3.png","1","125521","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","140036","141336"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test1.png","9","145153","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","141677","145153"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test2.png","5","148696","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","146220","148697"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr3_test3.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","3","86","149822","151321"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","wait","5000","4","86","152398","151321"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","fix","1500","4","86","157490","151321"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study1.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","4","86","159189","160191"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study2.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","4","86","160515","161516"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study3.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","4","86","161867","162867"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_study4.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","4","86","163199","164199"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update1.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","4","86","164633","165934"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update2.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","4","86","166252","167553"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update3.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","4","86","167883","169183"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_update4.png","7","151320","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","4","86","169515","170817"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test1.png","3","173993","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","4","86","171144","173994"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test2.png","7","178585","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","4","86","175074","178585"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test3.png","6","182377","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","4","86","179764","182377"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr4_test4.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","test","0","4","86","183466","187177"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","wait.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","wait","5000","3","86","188257","187177"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","fixation.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","fix","1500","3","86","193333","187177"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_study1.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","194904","195904"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_study2.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","196226","197226"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_study3.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","study","1000","3","86","197552","198552"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update1.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","198896","200197"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update2.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","200525","201825"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update3.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","202267","203569"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update4.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","203897","205199"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update5.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","205529","206831"
"MU.osexp","C:\Users\Public\Experiments\IDs\05-WMC\MU","Tr5_update6.png","8","187176","C:/Users/Public/Experiments/IDs/05-WMC/MU/MUsbj086.csv","update","1300","3","86","207153","208455"
