,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,2.0,414.0,4.0,1.0,7.0,152.07079978,45.23447839,106.72445752,8.70068672,11.88108899,12.55357146,0.74408892,-0.84985773,-0.74199215,-666.9856659,0.0,0.0,243.67499917,60.37356175
1,2,2.0,713.5,4.0,1.0,10.0,154.362654415,42.322657434999996,120.855988275,5.67994821,8.66388684,8.771083335,0.635341995,-0.776389935,-0.626915225,-1148.3636622650001,0.0,0.0,256.88749938,66.36362254
2,3,2.0,932.5,4.0,2.0,6.5,150.13252598,40.677543575,111.727054065,4.930813479999999,7.510967985,7.489293985,0.675932645,-0.8002501550000001,-0.6677039499999999,-1501.10479907,0.0,0.0,245.212499395,61.653583685
3,4,2.0,639.0,4.0,1.0,7.5,213.27123897500002,78.25279067,172.39859476499998,10.451979285,11.84449883,14.755252755,0.655921835,-0.8137002900000001,-0.65460966,-1028.4910042000001,0.0,0.0,362.149999635,99.94049669500001
4,5,2.0,698.0,4.0,1.0,3.5,153.37597089,57.314410169999995,123.16638393,7.4836493950000005,8.27647411,10.5724975,0.645057945,-0.8120474950000001,-0.6486995099999999,-1123.76145508,0.0,0.0,259.774999805,72.07158314
5,6,2.0,979.5,4.0,1.0,11.0,142.774136155,34.428104239999996,99.036833455,3.89502508,5.971617139999999,6.0353834850000005,0.6238532,-0.770600695,-0.616873335,-1576.4789661949999,0.0,0.0,226.762500515,54.449486965000006
6,7,2.0,639.5,4.0,2.0,8.0,150.662465965,37.36556697,175.32081739,5.89382217,24.456345385000002,11.639929475,0.501016745,-0.681351745,-0.560398075,-1030.635003715,0.0,0.0,296.250000205,93.723416345
7,8,2.0,771.5,4.0,1.0,9.5,192.837692075,57.111975650000005,92.24280198,7.856658960000001,7.719490275,10.322252905,0.766890885,-0.896796095,-0.787405635,-1241.684335315,0.0,0.0,274.112499875,58.953471394999994
8,9,2.0,811.5,4.0,2.0,6.0,190.25182089,55.178194465000004,103.864944985,7.23626314,7.689557145,9.83735224,0.72489505,-0.8612199700000001,-0.7360510250000001,-1306.453336375,0.0,0.0,280.700000785,63.045786565
9,10,2.0,987.0,4.0,1.0,10.5,139.05199922999998,25.429333345,118.78651816,3.4689237549999996,15.613892915000001,6.74638385,0.516961345,-0.686115645,-0.6414462400000001,-1589.17353129,0.0,0.0,238.0500008,62.802426425
10,11,2.0,681.0,4.0,1.0,17.5,182.22074766499998,55.42141594,163.62562660999998,7.648742825,11.686293515,11.906533155,0.631850595,-0.7698589,-0.6162910450000001,-1096.36626648,0.0,0.0,320.887500935,89.52191787
11,12,2.0,1011.0,4.0,1.0,21.0,191.25403983,54.12349992,45.717286455,8.33051816,5.00501149,9.685967925,0.84737465,-0.96328049,-0.872055515,-1627.583015065,0.0,0.0,233.800000235,41.779444725000005
12,13,2.0,804.5,4.0,1.0,7.5,160.01538886,54.05055246,100.86096799,6.72039972,7.044788265,9.117491555,0.710129285,-0.85829588,-0.722624025,-1294.8469921649998,0.0,0.0,247.86250009999998,61.08510683
13,14,2.0,719.0,4.0,2.0,8.0,163.479250135,65.52041635500001,134.732704055,8.297877374999999,8.3957775,11.53043849,0.66691842,-0.8267946150000001,-0.66420295,-1157.983087325,0.0,0.0,279.68750034000004,79.24160788500001
14,15,2.0,1073.0,4.0,1.0,7.5,168.09646279499998,50.212823584999995,62.55620093,6.426600325000001,4.898310735,7.90341529,0.77811424,-0.91597673,-0.801557555,-1727.9625008449998,0.0,0.0,224.13750061500002,45.518592534999996
15,16,2.0,868.0,4.0,1.0,12.5,175.87569932,45.64260703,69.19922793,6.243521655,5.874425565,8.09754741,0.785336695,-0.908944865,-0.807901805,-1397.596337675,0.0,0.0,237.112499265,45.276684325
16,17,2.0,918.0,4.0,1.0,11.0,155.99994454,38.69030276,88.584535805,4.366655385,5.5421691299999996,6.2989111950000005,0.6536164600000001,-0.81179493,-0.661277585,-1477.932000245,0.0,0.0,232.06249866000002,50.75962542
17,18,2.0,780.0,4.0,2.0,5.5,164.342599385,56.227008389999995,112.05009554,7.216566705,7.961112585,9.92624751,0.703277845,-0.84482937,-0.7096496750000001,-1255.3719554499999,0.0,0.0,261.62499945,66.95735942499999
18,19,2.0,839.0,4.0,3.0,10.0,170.24517059,57.03860522,94.33394502499999,7.55605001,6.981061495,9.866614155,0.7495928199999999,-0.8847714600000001,-0.7633431500000001,-1350.353171705,0.0,0.0,253.36249964,60.297207875
19,20,2.0,772.5,4.0,2.0,14.5,190.675329445,48.28638562,113.18259158500001,6.232222665,8.41375577,9.038293415,0.684307005,-0.820430035,-0.6867945200000001,-1244.033508725,0.0,0.0,287.81250125500003,64.75329256
20,21,2.0,805.0,4.0,1.0,7.0,142.38167033,35.55011941,128.81424965,4.412102435,8.11870755,7.50096521,0.507643555,-0.6937319799999999,-0.505220215,-1298.151980315,0.0,0.0,250.25000037,70.31708789999999
21,22,2.0,904.0,4.0,1.0,9.0,149.902649395,39.625252085,105.09143564,4.997098384999999,7.524697885,7.4887043,0.702401715,-0.8169331799999999,-0.69557392,-1455.5428084,0.0,0.0,239.512500385,58.233695440000005
22,23,2.0,914.0,4.0,1.0,11.0,163.58161244500002,46.15858851,96.5325773,5.41806643,6.38714431,7.5925322049999995,0.68674764,-0.83643373,-0.697169445,-1472.022365205,0.0,0.0,247.00000016,56.624966385
23,24,2.0,729.0,4.0,1.0,10.5,185.59507939,75.91569855,137.38157547,10.301835735000001,10.130128605,13.70243475,0.7434635350000001,-0.872253205,-0.74716491,-1173.97713887,0.0,0.0,305.650000745,84.491001375
24,25,2.0,946.0,4.0,2.0,8.5,148.670046725,34.3882581,82.896873935,3.977094,5.3790103,5.806938000000001,0.6747074150000001,-0.8149504649999999,-0.677102535,-1522.6699333450001,0.0,0.0,219.699999785,47.03396606
25,26,2.0,704.0,4.0,2.0,5.5,181.420656685,55.57542213000001,125.606951375,7.42985017,9.229151819999998,10.643449675,0.6811151799999999,-0.8243606699999999,-0.68429763,-1133.111287325,0.0,0.0,289.412500195,72.05981972000001
26,27,2.0,882.5,4.0,1.0,8.5,146.29907865,52.531402205,101.772580395,6.16372067,6.53068003,8.413274054999999,0.69846608,-0.848592375,-0.707271695,-1420.607521515,0.0,0.0,234.92499919,61.018062275
27,28,2.0,819.5,4.0,1.0,11.0,157.65721171,41.262472200000005,121.418952025,5.047202049999999,7.8680227700000005,7.904011835,0.6046149000000001,-0.75838081,-0.5969153,-1319.2694542899999,0.0,0.0,260.48750016500003,66.692630805
28,29,2.0,736.0,4.0,17.0,17.5,179.09139248,37.72648112,137.98269932,3.76792438,4.17981125,5.25422343,0.326452585,-0.411769635,-0.331686565,-1189.48681188,0.0,0.0,295.575000305,74.86886065
29,30,2.0,781.5,4.0,2.0,8.5,178.67632585500002,51.1695601,105.905468645,6.362213225,7.359587455,8.898857155,0.6844913699999999,-0.8359503450000001,-0.69392019,-1258.152323545,0.0,0.0,270.262500465,62.27626152
30,31,2.0,755.5,4.0,2.0,16.0,158.32711675500002,39.13057882,136.382408935,6.392363185000001,17.382715805,9.74326587,0.21486287,-0.66975705,-0.42270277,-1216.682103535,0.0,0.0,273.27499924,78.77939267
31,32,2.0,789.5,4.0,1.0,14.0,146.31628154,42.50577182,109.171008125,5.23585497,7.14870583,7.816864125,0.63663408,-0.7900973600000001,-0.6336279650000001,-1271.044467595,0.0,0.0,239.43750097499998,61.136759170000005
32,33,2.0,1174.0,4.0,1.0,8.0,146.43443288,53.4749681,130.76394503,5.82138941,7.48571462,8.42299261,0.71191856,-0.82639946,-0.69815868,-1891.80496829,0.0,0.0,258.50000043,73.67665909
33,34,2.0,695.0,4.0,1.0,6.0,167.013891655,65.11935074,128.59129744,8.563524115,8.973684949999999,11.651258434999999,0.6928171350000001,-0.8393479450000001,-0.6942404799999999,-1118.6631754999999,0.0,0.0,278.875000095,77.37329161
34,35,2.0,770.0,4.0,1.0,9.5,150.634135155,57.743122665,124.953257025,7.16870412,7.89537844,9.99472222,0.674493395,-0.82223665,-0.67006076,-1239.3140702599999,0.0,0.0,258.87500017499997,73.096521335
35,36,2.0,898.5,4.0,1.0,9.5,133.40833785,27.632972199999998,119.343968795,3.643542905,10.047741264999999,6.635637754999999,0.5350149049999999,-0.69140892,-0.5581722849999999,-1446.2023196149999,0.0,0.0,232.87499917999997,63.487179375000004
