SBJ_NO,RAPM,OSPAN
1,9,2
2,4,3
3,8,4
4,5,4
5,10,5
6,2,5
7,3,5
8,8,5
9,8,5
10,7,0
11,2,4
12,7,3
13,8,2
14,1,3
15,3,5
16,4,3
17,7,4
18,8,4
19,6,0
20,2,5
21,6,4
22,1,2
23,8,0
24,4,2
25,7,0
26,6,0
27,4,3
28,5,3
29,10,2
30,6,3
31,3,3
32,4,2
33,8,3
34,7,5
35,4,4
36,7,4
37,7,3
38,11,3
39,5,2
40,8,4
41,6,4
42,5,0
43,4,2
44,2,0
45,6,4
46,6,4
47,7,2
48,6,5
49,7,3
50,7,3
51,9,0
52,6,3
53,2,0
54,4,5
55,1,0
56,5,2
57,3,0
58,2,0
59,10,4
60,8,2
61,3,2
62,5,2
63,7,2
64,8,3
65,3,4
66,6,3
67,3,2
68,6,5
69,3,2
70,0,5
71,4,0
72,11,4
73,5,4
74,7,0
75,9,2
76,6,0
77,3,3
78,7,5
79,8,4
80,5,2
81,5,2
82,6,2
83,3,3
84,11,4
85,2,0
87,7,3
88,2,2
89,6,4
90,2,3
91,6,0
92,9,3
93,3,4
94,2,4
95,6,4
96,7,3
97,6,5
98,7,2
99,10,0
100,4,2
