width,task,task_trial,image_name,height,sbj,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,NEXT_SAC_AMPLITUDE,Condition
1024,aesthetic,1,demo_01.png,768,80,1,503.4,456.4,320,5.91,a
1024,aesthetic,1,demo_01.png,768,80,2,381.7,290,190,6.45,a
1024,aesthetic,1,demo_01.png,768,80,3,254,93.5,214,1.83,a
1024,aesthetic,1,demo_01.png,768,80,4,194.4,80,166,1.6,a
1024,aesthetic,1,demo_01.png,768,80,5,140.3,86.2,285,4.4,a
1024,aesthetic,1,demo_01.png,768,80,6,303.1,93,153,5.62,a
1024,aesthetic,1,demo_01.png,768,80,7,508.6,103.3,267,2.74,a
1024,aesthetic,1,demo_01.png,768,80,8,623.9,95.1,159,4.01,a
1024,aesthetic,1,demo_01.png,768,80,9,764.9,88.7,166,2.77,a
1024,aesthetic,1,demo_01.png,768,80,10,861.5,88.5,199,18.18,a
1024,aesthetic,1,demo_01.png,768,80,11,192.9,122.1,181,1.01,a
1024,aesthetic,1,demo_01.png,768,80,12,158.3,131.3,190,9.81,a
1024,aesthetic,1,demo_01.png,768,80,13,194.9,491.8,188,1.32,a
1024,aesthetic,1,demo_01.png,768,80,14,158.6,519,291,3.4,a
1024,aesthetic,1,demo_01.png,768,80,15,275.5,531.5,185,4.52,a
1024,aesthetic,1,demo_01.png,768,80,16,431.7,538.7,178,4.42,a
1024,aesthetic,1,demo_01.png,768,80,17,587.1,540.6,166,4.72,a
1024,aesthetic,1,demo_01.png,768,80,18,754.2,536.5,138,3.92,a
1024,aesthetic,1,demo_01.png,768,80,19,895.9,524.6,167,20.12,a
1024,aesthetic,1,demo_01.png,768,80,20,138.8,564.2,150,5.33,a
1024,aesthetic,1,demo_01.png,768,80,21,150.8,748.6,27,0.49,a
1024,aesthetic,1,demo_01.png,768,80,22,178.1,673.5,48,2.17,a
1024,aesthetic,1,demo_01.png,768,80,23,132.7,653.8,578,26.54,a
1024,aesthetic,1,demo_01.png,768,80,24,956.6,80.2,347,13.15,a
1024,aesthetic,1,demo_01.png,768,80,25,527.1,301.8,173,5.09,a
1024,aesthetic,1,demo_01.png,768,80,26,391,359.8,258,1.91,a
1024,aesthetic,1,demo_01.png,768,80,27,370.6,428.3,318,10.73,a
1024,aesthetic,1,demo_01.png,768,80,28,136.2,109,270,4.01,a
1024,aesthetic,1,demo_01.png,768,80,29,271.5,88.9,262,9.8,a
1024,aesthetic,1,demo_01.png,768,80,30,624.1,122,219,4.92,a
1024,aesthetic,1,demo_01.png,768,80,31,719.5,197.1,589,15.49,a
1024,aesthetic,1,demo_01.png,768,80,32,237.6,506.8,359,5.82,a
1024,aesthetic,1,demo_01.png,768,80,33,207.3,590.6,375,0.77,a
1024,aesthetic,1,demo_01.png,768,80,34,173.3,544.2,211,5.8,a
1024,aesthetic,1,demo_01.png,768,80,35,381.4,554.2,253,4.3,a
1024,aesthetic,1,demo_01.png,768,80,36,532.7,539.2,196,4.23,a
1024,aesthetic,1,demo_01.png,768,80,37,678.3,526.8,165,3.83,a
1024,aesthetic,1,demo_01.png,768,80,38,819.3,529.5,159,2.45,a
1024,aesthetic,1,demo_01.png,768,80,39,923.8,523.2,144,19.58,a
1024,aesthetic,1,demo_01.png,768,80,40,204.5,619.2,146,9.37,a
1024,aesthetic,1,demo_01.png,768,80,41,419,309.7,141,1.6,a
1024,aesthetic,1,demo_01.png,768,80,42,469.3,276.2,867,2.83,a
1024,aesthetic,1,demo_01.png,768,80,43,370.4,329.8,75,4.14,a
1024,aesthetic,1,demo_01.png,768,80,44,379.5,395.3,169,1.63,a
1024,aesthetic,1,demo_01.png,768,80,45,371.5,444.2,995,3.9,a
1024,aesthetic,1,demo_01.png,768,80,46,386.3,309.3,1057,12.66,a
1024,aesthetic,1,demo_01.png,768,80,47,139.3,721.5,221,0.9,a
1024,aesthetic,1,demo_01.png,768,80,48,286.1,705.8,2826,0.53,a
1024,aesthetic,1,demo_01.png,768,80,49,483.3,703.1,101,0.24,a
1024,aesthetic,1,demo_01.png,768,80,50,677.8,771.2,2173,0.23,a
1024,aesthetic,1,demo_01.png,768,80,51,790.2,883.2,65,0.23,a
1024,aesthetic,1,demo_01.png,768,80,52,800.5,870.4,112,0.23,a
1024,aesthetic,1,demo_01.png,768,80,53,881.6,784.2,498,1.27,a
1024,aesthetic,1,demo_01.png,768,80,54,739.2,700.6,2777,0.93,a
1024,aesthetic,1,demo_01.png,768,80,55,564.6,694.6,293,0.58,a
1024,aesthetic,1,demo_01.png,768,80,56,557.6,663.4,96,1.66,a
1024,aesthetic,1,demo_01.png,768,80,57,282.4,663.2,3551,0.51,a
1024,aesthetic,1,demo_01.png,768,80,58,29.3,657.8,567,0.49,a
1024,aesthetic,1,demo_01.png,768,80,59,38.4,601.1,488,1.26,a
1024,aesthetic,1,demo_01.png,768,80,60,101.6,623.7,205,0.26,a
1024,aesthetic,1,demo_01.png,768,80,61,126.4,612.9,387,1.93,a
1024,aesthetic,1,demo_01.png,768,80,62,168.4,676.5,31,0.46,a
1024,aesthetic,1,demo_01.png,768,80,63,210.8,600.7,189,3.54,a
1024,aesthetic,1,demo_01.png,768,80,64,244.3,725.4,30,1.14,a
1024,aesthetic,1,demo_01.png,768,80,65,437.2,601.4,2860,4.41,a
1024,aesthetic,1,demo_01.png,768,80,66,771.8,606.4,1997,0.47,a
1024,aesthetic,1,demo_01.png,768,80,67,962.4,577.8,1119,0.41,a
1024,aesthetic,1,demo_01.png,768,80,68,994.3,491,492,1.06,a
1024,aesthetic,1,demo_01.png,768,80,69,909.1,492.3,647,5.98,a
1024,aesthetic,1,demo_01.png,768,80,70,776.7,515.9,787,0.25,a
1024,aesthetic,1,demo_01.png,768,80,71,573.6,641.4,73,1.27,a
1024,aesthetic,1,demo_01.png,768,80,72,625,550.1,162,1.59,a
1024,aesthetic,1,demo_01.png,768,80,73,535.2,526.3,987,0.5,a
1024,aesthetic,1,demo_01.png,768,80,74,399.9,533.8,1233,5.26,a
1024,aesthetic,1,demo_01.png,768,80,75,205.3,684.6,58,0.77,a
1024,aesthetic,1,demo_01.png,768,80,76,200.3,612.3,35,0.29,a
1024,aesthetic,1,demo_01.png,768,80,77,172.8,538.3,1071,0.52,a
1024,aesthetic,1,demo_01.png,768,80,78,41.3,502.3,973,0.86,a
1024,aesthetic,1,demo_01.png,768,80,79,17.9,423,532,1.08,a
1024,aesthetic,1,demo_01.png,768,80,80,152.2,445.1,1359,1.46,a
1024,aesthetic,1,demo_01.png,768,80,81,311.8,445.8,911,4.2,a
1024,aesthetic,1,demo_01.png,768,80,82,540.1,453.2,2030,0.44,a
1024,aesthetic,1,demo_01.png,768,80,83,739.5,446.4,1244,0.42,a
1024,aesthetic,1,demo_01.png,768,80,84,845.8,480.1,205,4.64,a
1024,aesthetic,1,demo_01.png,768,80,85,914.5,557.6,754,0.57,a
1024,aesthetic,1,demo_01.png,768,80,86,966.6,516.4,272,0.54,a
1024,aesthetic,1,demo_01.png,768,80,87,993.2,475.7,367,0.73,a
1024,aesthetic,1,demo_01.png,768,80,88,974.6,396.7,565,0.55,a
1024,aesthetic,1,demo_01.png,768,80,89,897.7,409.8,524,6.35,a
1024,aesthetic,1,demo_01.png,768,80,90,762.6,435.6,622,5.05,a
1024,aesthetic,1,demo_01.png,768,80,91,680.9,458.8,272,0.49,a
1024,aesthetic,1,demo_01.png,768,80,92,590.2,360.6,1226,4.82,a
1024,aesthetic,1,demo_01.png,768,80,93,457.6,528.6,245,0.52,a
1024,aesthetic,1,demo_01.png,768,80,94,386.3,387.3,715,4.24,a
1024,aesthetic,1,demo_01.png,768,80,95,226.6,374.4,1140,0.57,a
1024,aesthetic,1,demo_01.png,768,80,96,80.2,354.7,982,0.52,a
1024,aesthetic,1,demo_01.png,768,80,97,23.9,313.2,861,0.38,a
1024,aesthetic,1,demo_01.png,768,80,98,151.9,290.3,1555,1.65,a
1024,aesthetic,1,demo_01.png,768,80,99,302.1,303.9,359,2.74,a
1024,aesthetic,1,demo_01.png,768,80,100,466.6,294.1,1735,0.38,a
1024,aesthetic,1,demo_01.png,768,80,101,649.1,285.1,944,5.72,a
1024,aesthetic,1,demo_01.png,768,80,102,800.9,296.4,869,0.63,a
1024,aesthetic,1,demo_01.png,768,80,103,929.4,266.6,1069,0.51,a
1024,aesthetic,1,demo_01.png,768,80,104,980.4,248.1,571,0.79,a
1024,aesthetic,1,demo_01.png,768,80,105,975.1,185.6,307,4.74,a
1024,aesthetic,1,demo_01.png,768,80,106,845.9,216.5,1096,5.35,a
1024,aesthetic,1,demo_01.png,768,80,107,711.9,248.1,572,0.38,a
1024,aesthetic,1,demo_01.png,768,80,108,629,242.8,487,8.6,a
1024,aesthetic,1,demo_01.png,768,80,109,487.1,247.3,1273,6.06,a
1024,aesthetic,1,demo_01.png,768,80,110,304.4,236.1,1124,0.98,a
1024,aesthetic,1,demo_01.png,768,80,111,186.6,229.5,256,0.52,a
1024,aesthetic,1,demo_01.png,768,80,112,151.5,237.2,769,0.69,a
1024,aesthetic,1,demo_01.png,768,80,113,58.7,239.3,715,0.65,a
1024,aesthetic,1,demo_01.png,768,80,114,39.2,188.7,994,0.85,a
1024,aesthetic,1,demo_01.png,768,80,115,161.6,170,1125,0.25,a
1024,aesthetic,1,demo_01.png,768,80,116,248.4,170.9,222,1.56,a
1024,aesthetic,1,demo_01.png,768,80,117,310.6,161.5,266,1.41,a
1024,aesthetic,1,demo_01.png,768,80,118,451.8,177.3,1778,0.53,a
1024,aesthetic,1,demo_01.png,768,80,119,792.4,162.6,3276,0.87,a
1024,aesthetic,1,demo_01.png,768,80,120,995,143,266,1.12,a
1024,aesthetic,1,demo_01.png,768,80,121,956.9,91.5,714,0.57,a
1024,aesthetic,1,demo_01.png,768,80,122,869.5,112,537,1.25,a
1024,aesthetic,1,demo_01.png,768,80,123,787.1,94.5,172,3.47,a
1024,aesthetic,1,demo_01.png,768,80,124,683.3,115,972,0.57,a
1024,aesthetic,1,demo_01.png,768,80,125,515.4,107,1462,0.51,a
1024,aesthetic,1,demo_01.png,768,80,126,376.9,105.2,725,0.22,a
1024,aesthetic,1,demo_01.png,768,80,127,246.4,110.8,1328,0.41,a
1024,aesthetic,1,demo_01.png,768,80,128,73.7,112.2,1526,0.96,a
1024,aesthetic,1,demo_01.png,768,80,129,32.8,56.4,541,0.75,a
1024,aesthetic,1,demo_01.png,768,80,130,96.9,47.1,219,1.1,a
1024,aesthetic,1,demo_01.png,768,80,131,490.8,48.1,5839,0.93,a
1024,aesthetic,1,demo_01.png,768,80,132,924,44.3,517,.,a
1024,aesthetic,1,demo_01.png,768,80,1,505.8,362.7,654,1.45,aesthetic
1024,aesthetic,1,demo_01.png,768,80,2,481.5,289.8,275,6.54,aesthetic
1024,aesthetic,1,demo_01.png,768,80,3,719.3,304.1,446,8.18,aesthetic
1024,aesthetic,1,demo_01.png,768,80,4,428.7,325.8,397,6.49,aesthetic
1024,aesthetic,1,demo_01.png,768,80,5,644.3,401.5,277,1.16,aesthetic
1024,aesthetic,1,demo_01.png,768,80,6,617.3,370.8,254,2.31,aesthetic
1024,aesthetic,1,demo_01.png,768,80,7,562.8,309.4,299,6.87,aesthetic
1024,aesthetic,1,demo_01.png,768,80,8,758.1,166.8,99,5.7,aesthetic
1024,aesthetic,1,demo_01.png,768,80,9,950.5,89.3,360,22.15,aesthetic
1024,aesthetic,1,demo_01.png,768,80,10,115.9,132.5,332,12.43,aesthetic
1024,aesthetic,1,demo_01.png,768,80,11,493.9,427.5,518,9.46,aesthetic
1024,aesthetic,1,demo_01.png,768,80,12,790.5,593.1,420,4.26,aesthetic
1024,aesthetic,1,demo_01.png,768,80,13,883.3,715.6,367,14.21,aesthetic
